,Unnamed: 0,Filename,Species (BirdNET),Site,Latitude,Longitude,Detection time,"Call clarity (High/Medium/Low)",Song/Call/Alarm,"BirdNET correct?, (Yes/No)","If BirdNET incorrect, true species ID or sound source?","How confident are you?, (High/Medium/Low)",Reason for misidentifcation? (Related species /Anthropogenic sound/Mimic/No call/Other),Comments,mp3_found,new_label,detection_date,audio_length,Data_split
0,2600,1_50a4b521a1375a8b12b85643c1.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-07-02T02:41:34.133Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-02,114.024,Test
1,2601,2_a344eeaea591357ff570897a47.mp3,Eurasian Wren,TOV-E: Kristiansand 100312,58.1048148,7.7391909,2022-07-05T10:53:09.329Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-05,21.024,Test
2,2602,3_27e036df10ceb22dfda58fa75b.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-30T18:55:07.067Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-30,15.024,Train
3,2603,4_7b26891dab2cb5415a4f53ed07.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-20T05:05:49.495Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-20,237.024,Train
4,2604,5_2dc96d240cc9ca8a3f48ba9915.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-01T07:46:57.363Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-01,150.024,Train
5,2605,6_fb6703ff496cd611aa1353debf.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-07-27T06:54:58.617Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-27,12.024,Test
6,2606,7_2519b35af620464437400c297f.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-07-31T03:45:05.440Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-31,126.024,Test
7,2607,8_ecbbd43f407836424629037584.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-08T06:27:00.169Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-08,288.024,Train
8,2608,9_f779a64d9e1000706d6b1408c5.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-05-26T05:44:23.967Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-26,198.024,Test
9,2609,10_9f93845c1590f19ecccc41c1f5.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-21T02:32:29.839Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-21,111.024,Train
10,2610,11_85610b59973982a3db374ae242.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-05-24T03:03:49.352Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-24,6.024,Train
11,2611,12_e667e15fc24f221e5e5088a494.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-05-31T08:00:48.723Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-31,45.024,Train
12,2612,13_b02a37440072d785802c2ab1f2.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-05-19T03:01:31.663Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-19,6.024,Test
13,2613,14_dfd2df9b7c2e2c309ca20592bb.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-06-11T06:31:09.589Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-11,12.024,Train
14,2614,15_840ad775b3dc43f2becf663675.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-06-09T06:32:01.193Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-09,18.024,Test
15,2615,16_05bfc2b5b3047953ea699e66a9.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-04-16T08:43:23.522Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-04-16,6.024,Test
16,2616,17_78075d86652876488f39f914a5.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-05-14T07:00:20.506Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-14,6.024,Train
17,2617,18_dd780f306671fd21914051a05e.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-06-04T05:46:45.765Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-04,21.024,Test
18,2618,19_1df0c761186ce7cbbb638c4ddf.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-05-27T03:31:14.857Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-27,234.024,Test
19,2619,20_aad50004eeb94b1c7aa2635a42.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-07-15T14:31:24.108Z, ,Alarm,Yes,,High,,,True,Eurasian Wren,2022-07-15,3.024,Test
20,2620,21_0b018797c7050628e90ccef858.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-03-25T08:02:15.079Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-03-25,246.024,Train
21,2621,22_11bcdda9cf4e5efe8352671cce.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-06-21T05:16:08.337Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-21,15.024,Train
22,2622,23_7c009184a8853f43d3e03cf1f3.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-04-25T16:22:30.365Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-04-25,6.024,Train
23,2623,24_7af7ad7da17792d2ff2ae21551.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-05-20T03:33:22.581Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-20,132.024,Train
24,2624,25_b22deef53ae7f27b62ef307c22.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-20T03:14:41.693Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-20,225.024,Train
25,2625,26_00552079c42231e34c76d7da4e.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-04-06T10:56:25.773Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-04-06,3.024,Train
26,2626,27_e3ff803640f015805370f0b170.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-04-18T05:14:10.056Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-04-18,3.024,Test
27,2627,28_f99144e952efa972f9b20d6315.mp3,Eurasian Wren,TOV-E: Trondheim 161808,63.2352239,10.0601723,2022-05-04T05:48:40.496Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-04,195.024,Test
28,2628,29_626d4a0281202b6e210f7b4683.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-06-04T19:30:01.920Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-04,9.024,Test
29,2629,30_37f5356ae85625c92f2fe9135c.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-11T04:51:35.043Z, ,Alarm,Yes,,High,,,True,Eurasian Wren,2022-06-11,234.024,Train
30,2630,31_28a0fbef176c4c81815837e6c6.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-06-01T03:13:08.509Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-06-01,60.024,Train
31,2631,32_604c2072d6efbbc8719e0cac05.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-04-13T03:59:42.444Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-04-13,45.024,Test
32,2632,33_21ed916ea86e23d1bceeefaff9.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-03-30T04:30:54.102Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-03-30,180.024,Test
33,2633,34_d24a9c5f774dc464cfec0b5eb8.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-05-12T06:05:25.669Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-12,6.024,Test
34,2634,35_6d05539f4c203622c69656d502.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-07-09T05:31:31.678Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-09,120.024,Train
35,2635,36_4d9108b6a3b6f86d04fc569ebd.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-07-16T12:30:04.832Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-16,15.024,Test
36,2636,37_3e57ceb2e5052f33f873dd671f.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-03-27T06:01:18.459Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-03-27,39.024,Train
37,2637,38_1d3255539f6cbb1fd0b7bb7fcc.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-05-16T02:19:54.199Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-16,90.024,Train
38,2638,39_5e0b45eafba56dab2d33b1c762.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-05-21T09:49:00.202Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-21,3.024,Train
39,2639,40_88ad21e31c5ba1fbc115179bed.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-07-05T03:03:35.049Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-05,90.024,Test
40,2640,41_27cab79eb17ea4f6978f393ef1.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-04-18T15:39:46.944Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-04-18,6.024,Test
41,2641,42_e380b1dae577d2ab876e964db6.mp3,Eurasian Wren,TOV-E: Bergen 121812,60.53646304,5.223615121,2022-07-05T06:37:43.466Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-05,3.024,Test
42,2642,43_3923984107e11f5164588e612c.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-05-23T02:56:27.165Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-05-23,297.024,Test
43,2643,44_b38d0955dab7adbb36f415ec6f.mp3,Eurasian Wren,TOV-E: Bergen 120718,60.0603424,5.6645948,2022-07-01T15:04:14.687Z, ,Song,Yes,,High,,,True,Eurasian Wren,2022-07-01,165.024,Test
